Domain Code,AreaName,ItemName,Year,Value,Flag,FlagD
FS,Armenia,Per capita food supply variability (kcal/capita/day),2000,201,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2001,228,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2002,182,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2003,142,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2004,84,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2005,69,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2006,98,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2007,114,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2008,85,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2009,70,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2010,40,,Official data
FS,Armenia,Per capita food supply variability (kcal/capita/day),2011,28,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2000,43,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2001,43,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2002,67,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2003,65,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2004,52,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2005,70,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2006,71,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2007,38,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2008,29,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2009,24,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2010,22,,Official data
FS,Afghanistan,Per capita food supply variability (kcal/capita/day),2011,20,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2000,55,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2001,62,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2002,30,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2003,42,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2004,46,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2005,47,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2006,45,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2007,45,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2008,29,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2009,24,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2010,16,,Official data
FS,Albania,Per capita food supply variability (kcal/capita/day),2011,24,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2000,33,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2001,31,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2002,37,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2003,32,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2004,38,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2005,41,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2006,25,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2007,26,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2008,27,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2009,29,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2010,26,,Official data
FS,Algeria,Per capita food supply variability (kcal/capita/day),2011,23,,Official data
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2000,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2001,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2002,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2003,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2004,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2005,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2006,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2007,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2008,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2009,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2010,,NA,Not applicable
FS,American Samoa,Per capita food supply variability (kcal/capita/day),2011,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2000,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2001,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2002,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2003,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2004,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2005,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2006,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2007,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2008,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2009,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2010,,NA,Not applicable
FS,Andorra,Per capita food supply variability (kcal/capita/day),2011,,NA,Not applicable
FS,Angola,Per capita food supply variability (kcal/capita/day),2000,18,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2001,32,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2002,29,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2003,25,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2004,28,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2005,27,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2006,23,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2007,8,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2008,6,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2009,10,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2010,14,,Official data
FS,Angola,Per capita food supply variability (kcal/capita/day),2011,15,,Official data
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2000,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2001,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2002,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2003,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2004,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2005,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2006,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2007,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2008,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2009,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2010,,NA,Not applicable
FS,Antigua and Barbuda,Per capita food supply variability (kcal/capita/day),2011,,NA,Not applicable
FS,Argentina,Per capita food supply variability (kcal/capita/day),2000,48,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2001,57,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2002,54,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2003,117,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2004,140,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2005,129,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2006,94,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2007,55,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2008,54,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2009,48,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2010,20,,Official data
FS,Argentina,Per capita food supply variability (kcal/capita/day),2011,17,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2000,45,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2001,45,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2002,43,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2003,32,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2004,39,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2005,35,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2006,20,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2007,26,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2008,36,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2009,38,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2010,23,,Official data
FS,Australia,Per capita food supply variability (kcal/capita/day),2011,19,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2000,62,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2001,70,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2002,72,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2003,36,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2004,60,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2005,74,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2006,63,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2007,34,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2008,33,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2009,33,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2010,20,,Official data
FS,Austria,Per capita food supply variability (kcal/capita/day),2011,10,,Official data
FS,Bahamas,Per capita food supply variability (kcal/capita/day),2000,,NA,Not applicable
FS,Bahamas,Per capita food supply variability (kcal/capita/day),2001,,NA,Not applicable
FS,Bahamas,Per capita food supply variability (kcal/capita/day),2002,,NA,Not applicable
FS,Bahamas,Per capita food supply variability (kcal/capita/day),2003,,NA,Not applicable
FS,Bahamas,Per capita food supply variability (kcal/capita/day),2004,,NA,Not applicable
FS,Bahamas,Per capita food supply variability (kcal/capita/day),2005,,NA,Not applicable
FS,Bahamas,Per capita food supply variability (kcal/capita/day),2006,,NA,Not applicable
FS,Bahamas,Per capita food supply variability (kcal/capita/day),2007,,NA,Not applicable
FS,Bahamas,Per capita food supply variability (kcal/capita/day),2008,,NA,Not applicable
